SRR3189679	SRR3189680	SRR3189681	SRR3189682	SRR3189683	SRR3189684	SRR3189685	SRR3189686	SRR3189687	SRR3189688	SRR3189689	SRR3189690	SRR3189691	SRR3189692	SRR3189693	SRR3189694	SRR3189695	SRR3189696	SRR3189697
1150.747	1265.1918	1288.649	1430.0853	3474.5151	1481.4385	1373.5938	1077.1794	759.54706	833.8916	1550.8376	992.2492	639.2694	3322.5156	1964.1259	1024.0172	1017.86005	1326.9113	934.6185
393.42883	377.36777	305.7944	280.20477	719.598	170.51329	349.35696	291.22604	246.83609	212.69177	333.57263	252.01355	169.2421	926.823	276.4741	146.17592	198.13622	277.9345	208.90445
135.86703	211.44781	209.89082	73.681244	20.162445	12.510301	88.85191	77.2626	127.71625	66.95037	83.84734	170.48376	556.4976	185.28796	99.66911	69.045296	414.9726	91.67866	136.55273
5214.287	5935.6577	6177.629	4956.4775	17689.168	4283.604	6469.2744	4366.7456	3136.5845	4122.576	3119.48	3642.3582	1544.507	15838.621	6614.779	6624.2305	5518.876	7446.005	6546.2866
790.1126	466.6044	972.44257	966.9754	792.92737	345.40414	477.76816	270.57785	919.84283	980.94727	461.44464	384.46994	206.1258	1135.8269	342.30997	380.756	418.9729	343.97144	285.70532
1958.3463	1439.7046	2008.9806	1761.1371	1285.7344	900.8303	1262.5956	1329.2878	969.685	1311.4448	2110.3958	1326.3157	164.43361	1494.8513	1066.5106	945.8441	1425.0511	986.7526	626.2534
2813.4495	2927.3599	2565.3096	2332.139	7652.08	2433.012	2419.9956	2186.313	1853.1533	1945.3003	2030.455	2177.6035	833.28796	6004.716	3049.269	2250.2722	2523.6562	2366.9646	2023.2092
2372.0188	2696.4688	1657.8912	2426.0103	2718.9128	2556.9126	2703.189	2941.388	1926.6948	1345.271	5646.1445	1381.8053	1080.1781	3428.1077	4135.9604	2489.216	2188.1667	2801.5366	2189.9094
1937.5278	1368.0725	1681.4596	2055.8074	5125.442	1394.7131	1372.1095	1365.6003	1627.8413	1454.3767	1024.6885	768.817	338.50836	2876.3127	1052.1515	1325.3313	1146.0638	1425.3215	1192.2964
5525.6406	4596.8794	7368.514	6787.987	1579.0809	932.3691	2226.4917	2543.4424	2496.207	3074.6177	2064.6982	2878.439	1025.2488	3084.6172	2191.2017	3661.7563	3723.195	3256.832	3697.3115
387.68262	572.51184	163.04605	581.8078	300.84436	107.17192	98.382225	95.990710000000007	137.38618	215.87453	105.41567	182.99733	43.955635	378.05365	132.28629	175.82663	334.57443	152.24762	270.2049
405.3473	437.7672	221.17493	398.36102	248.76192	232.51228	517.26746	307.16397	183.11798	281.28412	391.97955	204.45877	168.00146	583.81396	621.9184	325.13702	296.62436	443.15976	260.18146
2641.1023	4031.6206	2545.7603	1937.6136	2273.884	4518.9062	4597.9585	2392.4817	1450.3241	1864.3496	3147.552	2975.6506	1792.5234	4035.4568	7023.516	3372.9653	3620.5452	4321.972	1846.7748
634.33185	686.26917	1274.1849	636.10876	6.900881	2.8811283	3.826597	6.1600456	0	0	1.8262054	0	3.3100348	4.173389	6.4137826	2.1228597	27.914425	47.601982	13.822838
874.3064	968.23126	997.6434	1202.6326	2445.5403	1270.6425	547.25903	937.0194	595.0577	630.7462	1371.6698	824.36896	304.379	2678.6013	996.199	810.7426	875.58466	764.00555	537.04956
1085.5408	1012.6113	848.33044	979.3057	1292.3405	1499.0166	1058.7971	929.6702	744.3166	943.92303	1337.4039	1087.7567	626.76227	1672.7645	1521.7068	1155.6526	1234.0375	1042.6122	768.85754
